"ID","endID","crrdr_d","biomass_mean","biomass_min","biomass_max"
"Cabo Blanco","H0352","CORR0001",60.4740242449593,2.1129138469696,117.882362365723
"Cabo Blanco","H0351","CORR0002",58.8933012797509,2.1129138469696,106.429306030273
"Cabo Blanco","H0361","CORR0003",63.0497916351186,2.1129138469696,145.254592895508
"Cabo Blanco","H0363","CORR0004",62.6310332279087,2.1129138469696,145.254592895508
"Cabo Blanco","H0356","CORR0005",60.1566879354514,2.1129138469696,113.297988891602
"Hitoy Cerere","H0369","CORR0006",87.7118441438022,58.2314834594727,148.315658569336
"Hitoy Cerere","H0360","CORR0007",75.0580408732096,47.9132308959961,104.685585021973
"Hitoy Cerere","H0369","CORR0008",85.5046117267911,60.281063079834,130.456558227539
"Hitoy Cerere","H0369","CORR0009",92.7025813846798,63.7417526245117,157.610061645508
"Hitoy Cerere","H0369","CORR0010",94.8865910166318,51.0663452148438,158.64225769043
"Lomas de Barbudal","H0349","CORR0011",56.8288999868476,2.73072600364685,89.4599151611328
"Lomas de Barbudal","H0350","CORR0012",41.9894573938279,10.936882019043,110.980842590332
"Lomas de Barbudal","H0351","CORR0013",59.1178270013209,5.83101224899292,103.112022399902
"Lomas de Barbudal","H0352","CORR0014",61.5926335462883,5.83101224899292,117.882362365723
"Lomas de Barbudal","H0353","CORR0015",67.7453649560201,10.936882019043,136.374954223633
"Calakmul","H0033","CORR0016",66.7001646843126,3.88834238052368,117.862174987793
"Calakmul","H0048","CORR0017",65.0748094159427,3.88834238052368,110.270202636719
"Calakmul","H0052","CORR0018",65.0566567193428,3.88834238052368,118.710784912109
"Calakmul","H0013","CORR0019",67.2069623734651,3.88834238052368,116.799034118652
"Calakmul","H0010","CORR0020",67.4960313213585,3.88834238052368,116.799034118652
"Bladen","H0135","CORR0021",69.2298050692322,7.27780532836914,107.226989746094
"Bladen","H0176","CORR0022",74.3904155527504,38.2073135375977,126.229072570801
"Bladen","H0216","CORR0023",66.4845212335399,10.0543966293335,99.3287200927734
"Bladen","H0216","CORR0024",66.5933838283679,10.0543966293335,99.3287200927734
"Bladen","H0220","CORR0025",75.2200522998284,38.2073135375977,126.229072570801
"Cayos Miskitos y Franja Costera Inmediata","H0347","CORR0026",78.4424784025367,6.01491355895996,133.871871948242
"Cayos Miskitos y Franja Costera Inmediata","H0156","CORR0027",77.8952461092021,6.01491355895996,114.59294128418
"Cayos Miskitos y Franja Costera Inmediata","H0241","CORR0028",79.2439016386693,6.01491355895996,126.17130279541
"Cayos Miskitos y Franja Costera Inmediata","H0242","CORR0029",79.0494569195914,6.01491355895996,126.17130279541
"Cayos Miskitos y Franja Costera Inmediata","H0262","CORR0030",79.757888059898,6.01491355895996,133.145004272461
"Pantanos de Centla","H0005","CORR0031",36.4574023189254,1.33000004291534,106.542022705078
"Pantanos de Centla","H0002","CORR0032",36.4192155712733,1.33000004291534,106.542022705078
"Pantanos de Centla","H0002","CORR0033",35.5831575932492,1.33000004291534,106.542022705078
"Pantanos de Centla","H0001","CORR0034",41.2006475352958,1.33000004291534,115.530532836914
"Pantanos de Centla","H0008","CORR0035",38.1663024281407,1.33000004291534,94.2991027832031
"La Encrucijada","H0117","CORR0036",47.0685761832354,3.27164244651794,95.480224609375
"La Encrucijada","H0092","CORR0037",57.4705101911058,6.06198787689209,99.4007949829102
"La Encrucijada","H0084","CORR0038",60.8415848943922,6.06198787689209,99.4007949829102
"La Encrucijada","H0109","CORR0039",45.9073186802263,6.06198787689209,104.173583984375
"La Encrucijada","H0168","CORR0040",47.0792540564682,3.70086169242859,98.0851211547852
"La Sepultura","H0072","CORR0041",67.7642341146664,20.6474895477295,101.193260192871
"La Sepultura","H0059","CORR0042",66.7420180638631,48.8441429138184,85.1535949707031
"La Sepultura","H0067","CORR0043",64.1511838912964,20.6474895477295,96.7693023681641
"La Sepultura","H0067","CORR0044",65.4029411662709,20.6474895477295,96.7693023681641
"La Sepultura","H0072","CORR0045",66.2131271075485,20.6474895477295,101.193260192871
"Los Petenes","H0008","CORR0046",69.1831370602163,2.43447113037109,108.266319274902
"Los Petenes","H0010","CORR0047",70.3994024586941,2.43447113037109,116.799034118652
"Los Petenes","H0013","CORR0048",70.2405775416921,2.43447113037109,116.799034118652
"Los Petenes","H0011","CORR0049",70.492016025753,2.43447113037109,116.799034118652
"Los Petenes","H0005","CORR0050",69.0878689429156,2.43447113037109,115.579940795898
"Río Indio Maíz","H0353","CORR0051",90.963487086502,15.2124652862549,124.164894104004
"Río Indio Maíz","H0353","CORR0052",93.394093701672,15.2124652862549,135.298828125
"Río Indio Maíz","H0354","CORR0053",96.3505304062289,17.8571720123291,138.123748779297
"Río Indio Maíz","H0355","CORR0054",93.6546178277517,17.8571720123291,150.595245361328
"Río Indio Maíz","H0355","CORR0055",93.6666926977769,17.8571720123291,159.294876098633
"Ría Lagartos","H0125","CORR0056",71.3284246994928,7.27780532836914,108.437370300293
"Ría Lagartos","H0142","CORR0057",71.3121196477367,7.27780532836914,108.437370300293
"Ría Lagartos","H0131","CORR0058",71.1892651842085,7.27780532836914,110.390937805176
"Ría Lagartos","H0008","CORR0059",64.9335322387269,3.88834238052368,108.266319274902
"Ría Lagartos","H0131","CORR0060",71.1513140517683,7.27780532836914,113.153411865234
"Selva El Ocote","H0007","CORR0061",62.0698411478161,31.3631000518799,98.9897918701172
"Selva El Ocote","H0004","CORR0062",61.6734175217457,9.90109539031982,110.348625183105
"Selva El Ocote","H0021","CORR0063",58.7940866481623,21.5063571929932,99.5483779907227
"Selva El Ocote","H0012","CORR0064",61.8579969611219,31.3631000518799,98.9897918701172
"Selva El Ocote","H0021","CORR0065",58.4019915072504,21.5063571929932,99.5483779907227
"Cayos Miskitos y Franja Costera Inmediata","H0347","CORR0066",80.5772855534749,18.3621006011963,133.871871948242
"Cayos Miskitos y Franja Costera Inmediata","H0156","CORR0067",80.2560416382629,13.9443635940552,116.016540527344
